[rospy.client][INFO] 2020-09-14 12:33:43,509: init_node, name[/car_driver_node], pid[2946]
[xmlrpc][INFO] 2020-09-14 12:33:43,510: XML-RPC server binding to 0.0.0.0:0
[xmlrpc][INFO] 2020-09-14 12:33:43,512: Started XML-RPC server [http://192.168.43.172:37179/]
[rospy.init][INFO] 2020-09-14 12:33:43,512: ROS Slave URI: [http://192.168.43.172:37179/]
[rospy.impl.masterslave][INFO] 2020-09-14 12:33:43,513: _ready: http://192.168.43.172:37179/
[xmlrpc][INFO] 2020-09-14 12:33:43,514: xml rpc node: starting XML-RPC server
[rospy.registration][INFO] 2020-09-14 12:33:43,516: Registering with master node http://192.168.43.172:11311
[rospy.init][INFO] 2020-09-14 12:33:43,613: registered with master
[rospy.rosout][INFO] 2020-09-14 12:33:43,614: initializing /rosout core topic
[rospy.rosout][INFO] 2020-09-14 12:33:43,621: connected to core topic /rosout
[rospy.simtime][INFO] 2020-09-14 12:33:43,624: /use_sim_time is not set, will not subscribe to simulated time [/clock] topic
[rospy.internal][INFO] 2020-09-14 12:33:43,687: topic[/cmd_vel] adding connection to [http://192.168.43.172:34065/], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,833: topic[/rosout] adding connection to [/rosout], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,937: topic[/zxcar/get_vel] adding connection to [/heima_base_node], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,945: topic[/zxcar/imu] adding connection to [/apply_calib], count 0
[rospy.internal][INFO] 2020-09-14 12:33:43,951: topic[/zxcar/magnetic] adding connection to [/apply_calib], count 0
[rosout][INFO] 2020-09-14 12:35:14,421: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:14,959: cmd_vel:-0.25,-0.0769230797887
[rosout][INFO] 2020-09-14 12:35:15,422: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:15,923: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:16,420: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:17,423: cmd_vel:0.0,0.0
[rosout][ERROR] 2020-09-14 12:35:17,486: error tail:84
[rosout][INFO] 2020-09-14 12:35:17,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:18,424: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:18,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:19,418: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:19,954: cmd_vel:0.421052634716,0.487179487944
[rosout][INFO] 2020-09-14 12:35:20,423: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:20,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:21,420: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:21,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:22,421: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:22,949: cmd_vel:0.223684206605,0.384615391493
[rosout][INFO] 2020-09-14 12:35:23,420: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:23,923: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:24,420: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:24,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:25,417: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:25,923: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:26,420: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:26,923: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:27,419: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:27,922: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:28,423: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:28,928: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:29,418: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:29,919: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:30,420: cmd_vel:0.0,0.0
[rosout][ERROR] 2020-09-14 12:35:30,489: error tail:255
[rosout][INFO] 2020-09-14 12:35:30,922: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:31,425: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:31,921: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:32,420: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:32,922: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:33,419: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:33,922: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:34,920: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:35,419: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:35,921: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:36,418: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:36,922: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:37,415: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:37,955: cmd_vel:0.184210523963,0.743589758873
[rosout][INFO] 2020-09-14 12:35:38,426: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:38,921: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:39,420: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:39,916: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:40,423: cmd_vel:0.0,0.0
[rosout][INFO] 2020-09-14 12:35:40,924: cmd_vel:0.0,0.0
