[rosmaster.master][INFO] 2020-09-01 10:45:15,208: +PARAM [/camera/mycam/scanning_mode] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,209: +PARAM [/camera/mycam/auto_exposure] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,211: +PARAM [/camera/mycam/auto_exposure_priority] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,212: +PARAM [/camera/mycam/exposure_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,213: +PARAM [/camera/mycam/iris_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,214: +PARAM [/camera/mycam/auto_focus] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,215: +PARAM [/camera/mycam/focus_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,217: +PARAM [/camera/mycam/pan_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,218: +PARAM [/camera/mycam/tilt_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,219: +PARAM [/camera/mycam/roll_absolute] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,220: +PARAM [/camera/mycam/privacy] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,221: +PARAM [/camera/mycam/backlight_compensation] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,223: +PARAM [/camera/mycam/brightness] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,224: +PARAM [/camera/mycam/contrast] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,225: +PARAM [/camera/mycam/gain] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,226: +PARAM [/camera/mycam/power_line_frequency] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,227: +PARAM [/camera/mycam/auto_hue] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,229: +PARAM [/camera/mycam/hue] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,230: +PARAM [/camera/mycam/saturation] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,231: +PARAM [/camera/mycam/sharpness] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,232: +PARAM [/camera/mycam/gamma] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,233: +PARAM [/camera/mycam/auto_white_balance] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,234: +PARAM [/camera/mycam/white_balance_temperature] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,235: +PARAM [/camera/mycam/white_balance_BU] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,237: +PARAM [/camera/mycam/white_balance_RV] by /camera/mycam
[rosmaster.master][INFO] 2020-09-01 10:45:15,238: -SERVICE [/camera/set_camera_info] /camera/mycam rosrpc://192.168.1.10:47401
[rosmaster.master][INFO] 2020-09-01 10:45:15,240: -PUB [/camera/mycam/parameter_descriptions] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,241: -PUB [/camera/mycam/parameter_updates] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,242: -SERVICE [/camera/mycam/set_parameters] /camera/mycam rosrpc://192.168.1.10:47401
[rosmaster.master][INFO] 2020-09-01 10:45:15,244: -PUB [/camera/image_raw] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,245: -PUB [/camera/camera_info] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,406: -PUB [/rosout] /camera/mycam http://192.168.1.10:42075/
[rosmaster.master][INFO] 2020-09-01 10:45:15,410: -SERVICE [/camera/mycam/get_loggers] /camera/mycam rosrpc://192.168.1.10:47401
[rosmaster.master][INFO] 2020-09-01 10:45:15,412: -SERVICE [/camera/mycam/set_logger_level] /camera/mycam rosrpc://192.168.1.10:47401
[rosmaster.master][INFO] 2020-09-01 10:45:15,501: publisherUpdate[/rosout] -> http://192.168.1.10:44183/ []
[rosmaster.master][INFO] 2020-09-01 10:45:15,506: publisherUpdate[/rosout] -> http://192.168.1.10:44183/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2020-09-01 10:45:48,557: -PUB [/rosout_agg] /rosout http://192.168.1.10:44183/
[rosmaster.master][INFO] 2020-09-01 10:45:48,558: -SUB [/rosout] /rosout http://192.168.1.10:44183/
[rosmaster.master][INFO] 2020-09-01 10:45:48,560: -SERVICE [/rosout/get_loggers] /rosout rosrpc://192.168.1.10:48821
[rosmaster.master][INFO] 2020-09-01 10:45:48,561: -SERVICE [/rosout/set_logger_level] /rosout rosrpc://192.168.1.10:48821
[rosmaster.main][INFO] 2020-09-01 10:45:48,626: keyboard interrupt, will exit
[rosmaster.main][INFO] 2020-09-01 10:45:48,627: stopping master...
[rospy.core][INFO] 2020-09-01 10:45:48,628: signal_shutdown [atexit]
